date,open,high,low,close,volume,macd,signal,Upper_Band,Lower_Band,BB_Width,RSI_14,RSI_5,RSI_9,EMA_50,EMA_200,average_true_range,adx,bull_market,drawdown
2025-12-03,25443.7109375,25639.990234375,25388.439453125,25606.5390625,7962730000,71.76122488681722,-5.402668953450244,25996.51190401789,24181.57989285711,1814.9320111607813,58.136112089059424,73.23515700833406,62.4642312356016,24905.817341788228,23168.60368876008,410.7182542273839,18.979982802716755,1,-0.019652124899324126
2025-12-02,25449.869140625,25622.580078125,25369.359375,25555.859375,7588580000,35.7404722443207,-24.693642421192187,25971.389173098858,24189.618639401142,1781.770533697716,57.46807702237404,71.75562841583002,61.490965389824716,24877.216455228565,23144.101825707414,435.2055585020467,20.110956584352103,1,-0.021592399757637628
2025-12-01,25232.75,25443.2109375,25158.630859375,25342.849609375,7859560000,-5.595270218047517,-39.80217109508423,26053.21539817837,24149.50042213413,1903.7149760442408,54.6433146946145,65.3072053794092,57.360369963129635,24849.516744217486,23119.863056367787,459.1248039129633,21.585837869885776,1,-0.02974749133781832
2025-11-28,25310.279296875,25435.76953125,25280.9609375,25434.890625,4541070000,-36.586770426980365,-48.35389631965962,26130.244567862486,24123.99937745001,2006.2451904124755,56.1393133198925,70.90294857390316,59.82506134427799,24829.380708904933,23097.52148297073,485.97783972949526,24.79682999198401,1,-0.026223695565580626
2025-11-26,25168.310546875,25309.150390625,25077.859375,25236.939453125,7291400000,-84.98173174818294,-51.295677795115395,26171.811220836287,24112.424716663714,2059.386504172573,53.60254806637678,65.8716698571523,56.22959416763784,24804.66601845207,23074.030335814656,530.1544204878095,27.496678633590665,1,-0.03380226798599575
2025-11-25,24790.0703125,25069.5390625,24542.7109375,25018.359375,8498500000,-125.36202915732429,-42.87416429866841,26300.65411695211,24071.87283617289,2228.7812807792216,50.67760922377336,59.718857649646345,52.01446992686324,24787.02220479195,23052.292555741187,566.9795616691656,31.718003756833433,1,-0.04217061931243472
2025-11-24,24462.869140625,24923.58984375,24455.650390625,24873.849609375,9232160000,-152.8252814969128,-22.252198058965913,26403.330333556365,24068.575721131132,2334.754612425233,48.69192437532134,55.47307312370927,49.13591064743744,24777.57987131407,23032.533090220997,573.1567061537337,34.36721834683493,1,-0.04770318430749244
2025-11-21,24137.66015625,24521.83984375,23854.029296875,24239.5703125,9931240000,-170.94328444233906,10.391072850063825,26464.925818085896,24101.750353789103,2363.1754642967935,38.62057466611164,29.310121985305273,33.5940648903224,24773.650494250356,23014.02739656116,556.100885692351,35.95684865305764,1,-0.07198660501475956
2025-11-20,25131.490234375,25222.94921875,24021.439453125,24054.380859375,10548620000,-127.00808877462259,55.724662259168596,26419.483562012483,24259.051594237517,2160.4319677749663,35.17052384743447,18.065150209743052,27.874494893339303,24795.449685342206,23001.71038233062,538.9147825583776,33.059177662161524,1,-0.07907659427176246
2025-11-19,24517.26953125,24904.66015625,24432.189453125,24640.51953125,8434200000,-50.229921823822224,101.40785012595049,26306.56913841965,24476.268947517852,1830.3001909017985,42.13032682896075,30.249081596405205,36.789239265755434,24825.69739252454,22991.130779546256,436.9770831814799,30.39982780335804,1,-0.05663624026357469
2025-11-18,24651.779296875,24735.119140625,24299.2890625,24503.099609375,8606260000,-11.173992401960277,139.31729322576777,26284.634403072163,24522.05270630284,1762.5816967693245,39.52502249279233,20.147917597277456,32.27541062914163,24833.255672576564,22974.554008172345,431.51652566913316,29.351729541257434,1,-0.06189737016784783
